time,Btc-open,Btc-high,Btc-low,Btc-close,volume,Eth-open,Eth-high,Eth-low,Eth-close,Eth-volume
18/01/2022 12:00,41872.26,41969.12,41636.38,41813.97,419.4888505,3172.48,3182.99,3148.12,3163.63,5819.074815
18/01/2022 13:00,41813.97,41846.99,41418.01,41660.71,648.6081605,3163.16,3166.65,3110.56,3140.51,9304.646043
18/01/2022 14:00,41665.82,41700,41287.79,41459.7,1189.768471,3140.36,3144.98,3100.01,3120.22,11063.50984
18/01/2022 15:00,41465.52,41858.37,41333.4,41597.37,1132.546491,3119.99,3145.94,3111.16,3116.84,8978.342321
18/01/2022 16:00,41597.47,41797.45,41391.94,41718.23,769.6018833,3116.97,3140.99,3102.52,3132.45,7422.537325
18/01/2022 17:00,41715.01,41748.29,41484.11,41501.67,933.6165365,3131.93,3134.67,3104.02,3105.28,7219.531042
18/01/2022 18:00,41501.67,41680.35,41391.94,41624.72,753.0871849,3105.22,3113.57,3083.68,3108.77,9676.678506
18/01/2022 19:00,41628.42,41787.57,41605,41709.69,697.9675241,3108.34,3134.73,3105.76,3128.83,5309.951656
18/01/2022 20:00,41707.76,41796.55,41510.07,41796.55,545.6925609,3128.83,3133,3101,3124.8,7341.534115
18/01/2022 21:00,41798.34,42499.99,41729.54,42397.33,1144.858802,3124.99,3170.93,3118.46,3164.53,11352.68423
18/01/2022 22:00,42398,42692.71,42245.41,42499.69,563.4927806,3164.08,3194.28,3156.13,3180.7,4779.72207
18/01/2022 23:00,42499.68,42586.85,42309.21,42369.74,517.0016863,3180.44,3183.5,3157.74,3160.81,3761.498684
19/01/2022 0:00,42372.15,42498.73,42180.01,42263.77,448.3183446,3160.78,3171.59,3144.74,3154.23,3754.897532
19/01/2022 1:00,42263.77,42479.62,42263.76,42443.04,333.1813627,3153.91,3175.45,3153.91,3172.43,3522.95643
19/01/2022 2:00,42441.77,42528.76,42305.01,42346.85,304.0032857,3172.37,3176.81,3152.33,3159.36,2899.94314
19/01/2022 3:00,42346.86,42352.05,41585.41,41714.7,997.2637758,3159.07,3159.85,3089.05,3100.23,11792.57756
19/01/2022 4:00,41713.24,41825.82,41604.14,41723.5,470.4061887,3099.76,3115.08,3097.76,3102.03,6028.127521
19/01/2022 5:00,41723.49,41826.1,41673.68,41788.7,245.5096144,3102.03,3114.26,3098.82,3107.33,3174.598083
19/01/2022 6:00,41788.88,41865.79,41696.73,41722.57,222.5422863,3107.33,3112.4,3090.7,3101.37,2313.01913
19/01/2022 7:00,41726.41,41726.41,41181.12,41277.59,729.77955,3100.94,3100.94,3048.64,3061.29,10589.85424
19/01/2022 8:00,41279.68,41411.54,41126,41373.73,572.4158389,3061.98,3070.37,3047,3064.43,4534.07091
19/01/2022 9:00,41373.72,41694.49,41335.26,41597.13,406.7122157,3064.53,3093.28,3060.53,3087.03,4477.69278
19/01/2022 10:00,41597.14,41638.53,41293.47,41513.3,487.8224313,3087.3,3089.75,3051.25,3078.83,5964.561712
19/01/2022 11:00,41512.11,42175.97,41501.91,42051,813.571896,3078.34,3130,3076.47,3118.23,12763.02168
19/01/2022 12:00,42051.01,42283.18,41878.22,42118.79,690.7133475,3118.1,3133.25,3113.48,3120.89,7611.241485
19/01/2022 13:00,42120.83,42354.98,42052.21,42210.01,801.6820614,3121.18,3144.22,3116.83,3123.98,8299.242122
19/01/2022 14:00,42210.01,42586.03,42074.38,42525.83,1302.038834,3123.92,3162.48,3110.79,3158.99,12551.76322
19/01/2022 15:00,42523.32,42567.59,41837.21,41990.96,1247.885685,3159.1,3161.88,3113.4,3124.83,10009.98641
19/01/2022 16:00,41990.96,42074.9,41694.87,41930.09,969.2430805,3124.67,3132.89,3083.53,3101.89,10834.15682
19/01/2022 17:00,41930.04,42371.3,41910.5,42183.46,969.0567237,3101.48,3160,3100.78,3152.05,8325.870103
19/01/2022 18:00,42180.37,42271.41,41866.81,42000.39,824.9513064,3152.07,3157.72,3126.31,3136.7,5787.826705
19/01/2022 19:00,42000.38,42044,41730.81,41882.67,964.4108864,3136.68,3141.16,3116.41,3129.67,6961.599872
19/01/2022 20:00,41882.68,41981.15,41557.57,41632.19,687.1923027,3129.17,3140.27,3103.9,3109.17,6339.619352
19/01/2022 21:00,41638.31,41860,41632.2,41719.97,497.3226308,3109.24,3127.63,3108.9,3115,3867.903448
19/01/2022 22:00,41716.69,42010,41647.52,41987.37,344.1422935,3114.82,3131,3105.01,3127.85,2981.934842
19/01/2022 23:00,41985.15,42002.11,41643.28,41674.27,312.2513341,3127.96,3128.41,3083.07,3085.27,3853.784504
20/01/2022 0:00,41672.14,41881.25,41660.01,41847.62,385.59232,3084.49,3123.23,3084.47,3113.58,3912.699374
20/01/2022 1:00,41847.61,41901.28,41665.12,41782.53,401.1460786,3113.65,3121.13,3094.19,3114.35,3445.541346
20/01/2022 2:00,41782.53,42076.23,41776.91,41998.56,515.547277,3114.23,3130.63,3114.1,3124.45,3647.295504
20/01/2022 3:00,41998.56,42091.77,41895,41935.77,268.949772,3124.44,3132.61,3117.23,3126.49,2678.453685
20/01/2022 4:00,41935.78,42001.86,41880.97,41906.83,252.0972342,3126.5,3137.61,3121.87,3126.2,2908.071011
20/01/2022 5:00,41906.83,41968.62,41784.34,41900.53,214.864229,3125.74,3133.79,3114.31,3129.59,2114.971429
20/01/2022 6:00,41900.53,42070.37,41887.72,42025.48,262.1567446,3129.71,3148.48,3128.66,3146.08,2340.01577
20/01/2022 7:00,42025.48,42158.54,41942.51,42061.78,207.3124025,3146.06,3153.3,3131.34,3138.76,4011.190039
20/01/2022 8:00,42061.79,42093.9,41876.85,41973.84,163.2866451,3139.13,3142.72,3122.72,3130.74,2318.179174
20/01/2022 9:00,41973.85,42105.84,41816.48,42071.79,239.2687804,3130.73,3149.74,3117,3144.44,2149.601698
20/01/2022 10:00,42074.08,42173.16,42019.69,42127.56,172.3437234,3144.76,3149.77,3135.12,3140.79,2692.397871
20/01/2022 11:00,42127.56,42242.65,42061.67,42141.8,171.6010303,3140.86,3155.89,3140.39,3153.4,2579.135164
20/01/2022 12:00,42141.8,42145.85,41931.61,42047.55,298.7484839,3153.2,3153.72,3127.63,3135.97,3132.19843
20/01/2022 13:00,42047.55,42489,41982.29,42402.28,529.2446332,3136.38,3183.7,3133.14,3183.33,7156.911544
20/01/2022 14:00,42402.27,43090.01,42381.06,42990.93,1446.439481,3183.35,3225.55,3183.35,3221.27,13715.09925
20/01/2022 15:00,42990.93,43472.18,42962.81,43307.24,1731.831847,3220.84,3271.6,3218.66,3263.31,15881.08605
20/01/2022 16:00,43311.2,43511.99,43161.11,43285.36,693.6392029,3263.3,3273.32,3238.23,3246.89,7691.931886
20/01/2022 17:00,43285.37,43320.55,42984.16,43030.14,478.9607897,3246.89,3251.53,3225.56,3233.72,4826.736031
20/01/2022 18:00,43033.84,43101.63,42833,42846.9,648.6151527,3234.04,3236.72,3207.09,3208.36,7134.533539
20/01/2022 19:00,42852.88,43222,42825.33,42919.29,827.9805025,3208.4,3250,3199.82,3216.11,8378.694411
20/01/2022 20:00,42919.28,42998.66,42560,42725.27,1415.747258,3215.83,3219.99,3182.98,3195.79,12344.89442
