time,Btc-open,Btc-high,Btc-low,Btc-close,Btc-volume,Eth-open,Eth-high,Eth-low,Eth-volume,Eth-close
07/09/2023,25747.63,26440.55,25595.8,26276.3,10885.13902,1632.09,1659.1,1622.41,60902.59005,1647.44
08/09/2023,26276.38,26460.41,25640.1,25906.34,11149.95851,1647.44,1658.29,1615.65,58305.48971,1635.94
09/09/2023,25906.33,25942.69,25791.45,25897.82,2225.822111,1635.94,1637.14,1629.32,13173.5016,1635.14
10/09/2023,25897.82,26023.89,25578.01,25831.76,4361.602853,1635.15,1635.66,1596.78,46891.05891,1616.65
11/09/2023,25831.77,25891.6,24900,25152.14,13404.11511,1616.68,1618.61,1530.6,122138.1335,1551.36
12/09/2023,25152.13,26556.91,25120.76,25840.61,19789.48058,1551.33,1624.99,1549.21,92121.78664,1593.07
13/09/2023,25839.95,26413.59,25763.43,26226.65,10099.73837,1592.92,1618.56,1581.65,71432.28133,1608.06
14/09/2023,26227.16,26869.06,26128.25,26532.76,12929.08238,1608.06,1644.4,1607.48,84810.5747,1627.18
15/09/2023,26532.5,26892.65,26213.96,26602.42,9345.939137,1627.17,1653.52,1611.52,46587.30737,1641.49
16/09/2023,26601.71,26777,26453.32,26569.69,4132.048176,1641.48,1652.54,1631.88,25839.72627,1634.87
17/09/2023,26569.69,26626.49,26405.04,26530.95,3252.269761,1634.87,1635.66,1612.35,28240.63467,1622.83
18/09/2023,26530.96,27427.34,26382.13,26764.49,17493.7082,1622.93,1669.43,1603.55,82672.75437,1636.94
19/09/2023,26764.03,27500,26666.93,27216.13,14386.07885,1636.93,1661.05,1626.77,53665.43418,1643.42
20/09/2023,27216.52,27393.78,26798.98,27123.94,11590.24028,1643.41,1649.57,1604.91,69413.6481,1622.27
21/09/2023,27122.65,27163.48,26359.7,26564.54,11801.98944,1622.26,1625.23,1567.81,70280.57355,1583.86
22/09/2023,26564.54,26742.86,26467.94,26578.4,8563.052331,1583.86,1602.43,1576.52,49010.24393,1593.03
23/09/2023,26578.4,26638.58,26513,26579.6,2597.257057,1593.04,1598.19,1587.97,17727.34148,1593.85
24/09/2023,26579.59,26731.1,26118.86,26250.24,4587.805291,1593.84,1600.89,1570.35,32773.52823,1580.64
25/09/2023,26248.17,26444.95,25983.78,26296.08,10762.98401,1580.59,1597.12,1563,62583.93066,1587.75
26/09/2023,26296.07,26397.59,26080,26208.44,7016.421228,1587.75,1598.84,1579.47,49000.89806,1593
